run,N,M,S,finZ,totIt,timefin,bestat,deadfrac,it99,s2tot,s4tot,s4per1k,stag,pmpeak,pmfin,ccpeak,ccfin,ccdeath,coll,coll_it,tmfin,stag_events
R5,200,9,20,8952.9922,5634,239.8,5373,0.0463258785942492,2130,1174130,66,11.714589989350374,78,2830,921,,,,76,140,26,78
R5,200,9,30,9278.3975,5208,239.7,4876,0.06374807987711213,4190,1082097,71,13.632872503840247,75,2756,965,,,,116,140,18,76
R5,30,3,10,2132.7959,41395,120.0,544,0.9868583162217659,550,2455861,15,0.3623626041792487,410,542,95,,,,52,170,9,410
R5,30,3,20,2233.5176,41773,120.0,1887,0.9548272807794509,1070,2383099,10,0.2393890790702128,409,572,92,,,,54,160,5,409
R5,30,3,30,2538.6406,39020,120.0,6518,0.8329574577139929,620,2773469,27,0.6919528446950283,385,552,103,,,,47,150,4,385
R5,30,6,10,3340.2053,37460,120.0,1736,0.9536572343833423,1060,2836165,47,1.2546716497597439,368,633,172,,,,53,160,11,368
R5,30,6,20,3363.7991,38082,120.0,9442,0.7520613413161074,960,3114301,46,1.2079197521138594,371,657,169,,,,68,160,15,371
R5,30,6,30,3861.8447,40628,120.0,2563,0.9369154277837944,930,3007112,35,0.861474844934528,397,686,183,,,,62,170,8,397
R5,30,9,10,4207.771,40663,120.0,4941,0.8784890440941396,1090,3427859,44,1.0820647763322924,398,676,168,,,,61,150,13,398
R5,30,9,20,4056.1538,50000,118.8,3639,0.92722,470,5354080,51,1.02,494,709,185,,,,56,160,7,494
R5,30,9,30,4643.4302,44385,120.0,1316,0.9703503435845443,280,4589062,36,0.8110848259547144,437,703,224,,,,55,160,6,437
R5,50,3,10,3165.8669,26876,120.0,20672,0.23083792230986755,3290,2177344,21,0.7813662747432654,262,1078,147,,,,76,160,18,262
R5,50,3,20,2942.8599,31388,120.0,15708,0.49955396966993754,1940,2452239,15,0.4778896393526188,303,1070,129,,,,89,200,4,303
R5,50,3,30,2891.1443,26979,120.0,19754,0.26780088216761183,1830,1966641,24,0.8895807850550428,264,980,137,,,,60,170,15,264
R5,50,6,10,4974.3809,21853,120.0,10721,0.5094037431931543,4310,2693507,56,2.562577220518922,205,1368,266,,,,111,170,15,205
R5,50,6,20,4709.7148,22425,120.0,4543,0.7974136008918618,1860,2572983,54,2.4080267558528425,213,1338,258,,,,104,150,13,213
R5,50,6,30,4580.2378,22460,120.0,21282,0.05244879786286732,6310,2378511,54,2.404274265360641,206,1257,249,,,,87,160,18,206
R5,50,9,10,6284.0879,20702,120.0,4051,0.80431842334074,1950,2806268,95,4.588928605931795,192,1500,331,,,,125,170,22,192
R5,50,9,20,6045.9712,21196,120.0,18697,0.1178996036988111,3300,2993439,107,5.048122287224005,198,1502,332,,,,142,170,11,198
R5,50,9,30,5824.2261,19818,119.9,13485,0.31955797759612475,4200,2535086,81,4.087193460490463,180,1402,339,,,,96,150,14,180
R6,100,3,10,2997.6602,16599,119.9,7835,0.527983613470691,5630,1831871,183,11.024760527742636,322,5885,169,3946,0,360,2755,110,12,322
R6,100,3,20,2971.1382,15868,119.9,8492,0.46483488782455257,4840,1610467,227,14.30552054449206,307,5877,156,3971,0,370,2661,110,14,307
R6,100,3,30,3267.2773,16066,119.9,3875,0.7588074193949956,2280,1649758,215,13.382298020664757,312,5841,177,3845,0,220,2662,110,13,312
R6,100,6,10,5158.0522,9528,119.9,9112,0.0436607892527288,6740,1683722,254,26.658270361041144,181,6074,374,3596,0,600,3389,110,28,181
R6,100,6,20,4968.0146,9813,120.0,8862,0.09691225924793641,6240,1586594,246,25.068786303882607,178,6014,373,3546,0,480,3353,110,23,178
R6,100,6,30,5306.9526,9605,119.9,7785,0.18948464341488808,4620,1537210,223,23.217074440395628,181,5976,423,3475,0,460,3337,110,21,181
R6,100,9,10,6793.27,7522,120.0,7243,0.03709119914916246,2300,1688007,280,37.224142515288484,133,5890,554,3097,0,860,3205,110,20,133
R6,100,9,20,6732.8169,7386,119.9,7016,0.050094773896561064,4110,1482620,302,40.888166802057945,129,5946,528,3109,0,550,3270,110,30,129
R6,100,9,30,7047.7524,7689,119.9,7058,0.08206528807387177,4800,1584046,294,38.23644166991806,126,5838,601,2994,0,680,3170,110,20,126
R6,150,3,10,3546.3755,20271,240.0,19020,0.06171377830398106,6820,2751112,218,10.754279512604214,392,9626,240,8681,0,320,6357,110,20,392
R6,150,3,20,4018.3789,20726,239.9,15406,0.25668242786837786,11050,2512905,215,10.37344398340249,405,9711,241,8654,0,260,6309,110,12,404
R6,150,3,30,3784.1514,19101,240.0,15099,0.20951782629181717,11770,2146087,212,11.098895345793414,371,9580,247,8686,0,380,6278,110,21,371
R6,150,6,10,6190.3325,11449,239.8,11350,0.008647043409904796,6420,2292740,267,23.32081404489475,214,10212,484,8370,0,300,7827,110,19,214
R6,150,6,20,6662.5024,11573,239.9,10724,0.07336040784584809,5770,2261673,245,21.16996457271235,217,9942,529,8009,0,400,7681,110,24,217
R6,150,6,30,6251.8408,11010,240.0,10826,0.016712079927338783,8100,1917688,261,23.705722070844686,195,9918,520,8040,0,530,7571,110,40,195
R6,150,9,10,8341.5693,8169,239.7,7639,0.06487942220590036,3950,2147874,298,36.47937324029869,141,9830,754,7290,0,330,7283,110,22,141
R6,150,9,20,8838.4102,8295,239.8,6906,0.1674502712477396,4050,1868238,255,30.74141048824593,142,9811,760,7134,0,860,7187,110,31,142
